word,mean,similar
소울푸드,"흑인들의 영혼을 달래준 음식을 뜻하나, 모든 인류집단과 개인을 달래주는 음식이란 뜻으로 의미가 확장된 표현입니다.",위로가 되는 음식
혼모노,남에게 피해를 주는 오타쿠라는 의미합니다.,남에게 피해를 주는 오타쿠
고인물,"주로 게임에서, 해당 서비스를 오래 이용해서 실력이 뛰어나거나 경험이 풍부한 사람을 의미합니다.",경험이 많은 사람
관종,오로지 남의 관심을 받으려는 목적으로 일부러 엉뚱하거나 분란을 야기하는 말을 하는 등 어그로 끄는 사람을 의미합니다.,관심받으려는 사람
구독,"정액제로 해당 서비스를 꾸준히 이용하는 원래 의미와 가까운 구독도 있고, 이에 연장된 뜻으로, 특정 채널이나 스트리머를 즐겨찾기 하거나 그 채널의 소식을 받아보는 기능을 의미합니다.",정기적 이용
극혐,극도로 혐오하다 의 줄임말 입니다.,"극도로 혐오하다, 극도로 혐오, 극도로 혐오스럽"
눈팅,커뮤니티 등에서 댓글을 쓰는 등 남의 눈에 띄는 행동을 하지 않고 구경만 하기. 또는 그러는 사람을 의미합니다.,"구경만 하기, 구경만"
끌올,끌어 올리다의 줄임말. 시간이 지나서 묻힌 글을 다시 사람들에게 노출시키려는 목적으로 다시 상위로 노출시키는 일을 일컫습니다.,끌어올리기
대나무숲,집단의 사람들이 잡담 목적으로 공동으로 사용하는 SNS 페이지를 의미합니다.,많은 사람이 이용하는 SNS 계정
ㄹㅇ,"영어로 '진짜'를 뜻하는 단어 'real'을 한글로 적은 '리얼', '레알'의 초성체입니다.",진짜
베댓,"베스트 댓글, 많은 추천을 받고 다른 댓글들보다 우선적으로 노출되는 댓글을 의미합니다.",베스트 댓글
병먹금,병X에게 먹이 금지'의 줄임말. 엉뚱하거나 분란야기성 발언을 하는 사람에게 분위기의 주도권을 쥐어주지 않으려는 목적으로 일부러 무시하는 일을 의미합니다.,무시
썰,"사연, 이야기를 의미하는 신조어입니다.",이야기
정모,온라인에서 만난 사람들이 오프라인으로 만나는 행위를 의미합니다.,"온라인 모임, 오프라인 모임"
짤방,"인터넷 밈 중 이미지 형식인 것. 움직이는 짤(gif)은 '움짤', 웃긴 짤은 '웃짤', 혐오스러운 짤은 '혐짤'로 불립니다.","인터넷 밈, 이미지"
추추,추천의 신조어입니다.,"좋아요, 관심"
비추,비추천의 줄임말입니다.,"싫어요, 반대"
ㅋㅋ,"웃음소리인 ""크크크""를 초성체로 쓴 것입니다.","크크크, 웃기"
ㅎㅎ,"웃음소리인 ""하하하""를 초성체로 쓴 것입니다.","하하하, 웃음"
컨셉,재미를 목적으로 현실과 다른 다른 인격을 내세우는 행동을 의미합니다.,다른 인격
ㅎㅇ,안녕하세요'를 뜻하는 'hi'를 한글로 적은 '하이'의 초성체를 의미합니다.,"하이, 안녕"
쫌쫌따리,아주 조금씩 적고 하찮은 양을 모으는 모습을 의미하는 신조어입니다.,"조금, 아주조금"
억텐,억지 텐션의 줄임말.억지로 텐션을 올려서 발랄하게 행동을 의미합니다.,"강제텐션, 강제로텐션"
스불재,"스스로 불러온 재앙의 줄임말로, 주로 자신이 계획한 일로 자신이 고통을 받을 때 사용합니다.",스스로 불러온 재앙
갓생,갓(GOD)+생(生) 부지런하고 열심히 사는 사람에게 쓰는말을 의미합니다.,"열심히하는 삶, 성실한 삶"
점메추,점심 메뉴 추천의 줄임말입니다.,"점심메뉴추천, 점심추천"
다꾸,다이어리 꾸미기의 줄임말입니다.,"다이어리꾸미기, 다이어리 꾸미기"
킹받다,열받다라는 말에 새로운 접두사로 쓰이고 있는 킹(King)을 붙여 강조한 단어입니다.,"화난다, 짜증난다"
군싹,군침이 싹도네의 줄임말입니다.,"침, 침샘 도는"
저메추,저녁 메뉴 추천의 줄임말입니다.,"저녁메뉴추천, 저녁추천"
위꾸,위장 꾸미기의 줄임말로 맛있는거 먹는 행위를 의미합니다.,먹기
뇌꾸,뇌 꾸미기의 줄임말로 공부를 의미합니다,두뇌활동
오히려 좋아,안좋은 상황도 좋게 받아들이자는 뜻입니다. 진짜 힘든 상황에서 전화위복되어 좋다는 의미도 있지만 위기를 합리화 하기 위해서 사용되기도 합니다.,오히려 괜찮고 좋은데?
삼귈래,사귀기 전의 썸타는 단계라는 뜻입니다. 사귀다=4귀다->3귀다,서로 알아가볼래?
삼귀다,사귀기 전의 썸타는 단계라는 뜻입니다. 사귀다=4귀다->3귀다,"관심있는 사이, 사귀기 전단계"
알잘딱깔센,알아서 잘 딱깔끔하고 센스있게 의 줄임말입니다.,알아서 잘 딱깔끔하고 센스있게
와이라노,왜이러냐의 사투리 표현인 와이라노를 영어로 적은 말입니다,"왜 그러냐, 왜그래요"
Whyrano,왜이러냐의 사투리 표현인 와이라노를 영어로 적은 말입니다,"왜 그러냐, 왜그래요"
머선129,무슨일이야 의 경상도 사투리인 '머선 일이고?' 의 일이고를 숫자 129로 표현한 말입니다.,무슨일이에요
사바사,사람by사람 이라는 뜻으로 어떠한 상황에 대해서 사람마다 다르다라는 뜻입니다.,"사람마다 다르다, 사람마다 다르긴"
억까,억까는 억지로 디스(까다)하는 말을 뜻합니다.,억지로 비판
크크루삥뽕,ㅋㅋㅋ의 진화형으로 약올리는 용도로 쓰입니다. 특유의 억양때문에 들으면 조금 불쾌함이 있습니다. 따로 특별한 의미가 있지는 않습니다.,"웃기네, 웃기다"
조삼모사,일반적으로 아는 조삼모사가 아닌 조금모르면 삼번 완전 모르면 사번 이라는 뜻입니다.,조금 모르면 삼번 완전 모르면 사번
ㅈㅂㅈㅇ,정보좀요의 초상만 따서 제품에 대한 정보를 묻는 상황에서 많이 쓰입니다.,"정보 알려줘, 알려주세요"
힘숨찐,힘을 숨기고 있는 찐따' 의 줄임말로 겉으로는 찐따 같지만 실제로는 대단한 사람을 뜻합니다. 자신의 정체를 숨기고 모르는척 약한척 하는 경우에 사용합니다.,강한 숨기는 찐따
너 뭐 돼?,상대방의 행동이나 말이 마음에 들지 않을 때 사용할 수 있습니다.,너 뭐 돼?
나 제법 젠틀해요,어떤 과격적인 행동을 하고 싶다는(전혀 젠틀하지 않은) 말을 여과없이 서술한 뒤에 나 제법 젠틀해요를 넣어 역설적인 방법을 연출할 때 사용합니다.,나 제법 친절합니다
끔살,끔찍하게 살해 당하다 의 줄임말로 살해당한다 죽는다의 직접적인 표현이 아닌 장난스러운 표현으로 게임이나 드라마 만화 주인공 등의 죽음을 표현할 때 사용됩니다.,끔찍하게 살해
신기방기 뿡뿡방기,"활발히 사용된지 얼마되지 않은 유행어로 래퍼 이영지, 일러스트레이터 최고심이 사용하여 화제가 된 유행어로 듣기 싫은 말을 들었을때 사용하는 유행어라고 합니다.",듣기 싫은 말하지마
구취,구독취소의 줄임말로 유튜브에서 구독을 취소할 때 사용하는 말입니다.,구독 취소
임구,"이미 구독함의 줄임말입니다. ""너 ~구독했냐?"" ""임구지~"" 이런식으로 활용할 수 있습니다.",이미 구독함
졌잘싸,졌지만 잘 싸웠다의 줄임말로 말그대로 졌음에도 최선을 다한 경우에 사용하는 말입니다.,"졌지만 잘싸웠다, 졌지만 잘싸웠"
난죽택,난 죽음을 택하겠다의 줄임말로 이것도 저것도 선택하기 난처할 때 사용하는 말입니다.,"난 죽음을 택하겠다, 난 죽음을 택"
웃안웃,웃긴데 안웃김의 줄임말로 웃긴 상황인데 웃기지 않고 황당하고 또 웃음이 나오더라도 기분 좋은 웃음이 아닐 상황에 사용합니다.,"웃긴데 안웃김, 웃긴데 안웃긴"
캘박,캘린더 박제의 줄임말로 캘린더에 저장한다는 뜻입니다.,캘린더 박제
TMI,Too much information의 줄임말로 필요치 않은 사소한 것까지 하나하나 설명하는 사람을 뜻합니다.,많은 정보 제공자
JMT,영어 발음을 따서 만든 신조어로 '맛있다'는 뜻을 가진 단어입니다.,진짜 맛있다
멍청비용,쓰지 않아도 됐을 돈이나 시간을 소비했을 때 이를 표현하는 신조어입니다.,낭비
갈비,갈수록 비호감의 줄임말입니다.,갈수록 비호감
가심비,가격 대비 심리적 만족도를 주는 것을 뜻한다.,가격 대비 심리적 만족도
ASKY,"안 생겨요'의 영문 이니셜 약자로, 뭘 해도 남자 친구 여자 친구가 안 생긴다는 의미로 자주 쓰입니다.",안 생겨요
렬루,진짜를 뜻 하는 영단어 'real'에서 파생된 신조어로 '정말로'라는 뜻입니다.,정말로
돼지런해,먹을 때만 부지런하게 먹는 사람을 말합니다.,먹을 때만 부지런해
돼지런하다,먹을 때만 부지런하게 먹는 사람을 말합니다.,먹을 때만 부지런하다
갑분싸,갑자기 분위기 싸해짐의 줄임말입니다.,"갑자기 분위기 싸해짐, 갑자기 분위기 싸해지, 갑자기 분위기 싸해, 갑자기 분위기 싸하게"
뎨동,죄송을 귀엽게 발음하여 표현한 신조어입니다.,"죄송, 죄송합니다"
메덕,메이크업 덕후의 줄임말로 메이크업에 진심인 사람을 말합니다.,메이크업 덕후
소확행,소소하지만 확실한 행복의 줄임말입니다.,소소하지만 확실한 행복
좋못사,좋다 못해 사랑한다의 줄임말입니다.,좋다 못해 사랑
명존쎄,명치 굉장히 강하게 때린다'의 줄임말로 맞을 짓을 하는 사람을 때리고 싶다는 의미로 쓰입니다.,"명치를 쎄게 때리고 싶다, 명치 쎄게 때리고, 명치 세게 때리는 "
스몸비,스마트폰과 좀비의 합성어로 길을 걸어 다닐 때도 스마트폰을 보며 걷는 사람을 지칭하는 단어입니다.,스마트폰을 보며 걷는 사람
빼박캔트,빼도 박도 못한다 라는 의미합니다.,절대적 사실
팬아저,팬이 아니어도 저장의 줄임말입니다.,팬이 아니어도 저장
휘게,덴마크어로 '편안함'을 뜻하며 소확행과 비슷하게 자주 쓰이는 말입니다.,편안함
희연사,희귀한 연예인 사진'의 줄임말이다.,희귀한 연예인 사진
힘순찐,힘을 숨긴 찐따'의 줄임말이다.,힘을 숨긴 찐따
삼귀자,연인들이 본격적으로 사귀기 전의 단계를 표현한 신조어입니다.,"썸, 사귀기 전 상태"
띵곡,명곡을 think와 결합한 신조어입니다.,"명곡, 좋은노래"
누물보,누구 물어본 사람? 의 줄임말입니다.,"누구 물어본 사람, 누가 물어봤냐"
오저치고,오늘 저녁 치킨 고?'의 줄임말입니다.,오늘 저녁 치킨 고?
강직인,강아지를 키우는 직장인의 줄임말입니다.,강아지를 키우는 직장인
슬세권,슬리퍼로 갈 수 있는 거리라는 뜻의 신조어입니다.,슬리퍼로 갈 수 있는 거리
만반잘부,만나서 반가워 잘 부탁해의 줄임말 입니다.,만나서 반가워 잘 부탁해
할말하않,할 말은 많지만 하지 않겠다의 줄임말입니다.,"할말은 많지만 하지 않겠다, 할말은 많지만 하지 아니"
별다줄,별걸 다 줄인다는 의미로 쓰이는 줄임말입니다.,"별걸 다 줄인다, 별걸 다 줄"
스세권,스타벅스+역세권'의 합성어로 스타벅스가 가까이 있는 지역을 뜻하는 신조어입니다.,스타벅스가 가까운 지역
문송하다,문과라서 최송 합니다'의 줄임말입니다.,문과 학생이기 때문에 죄송합니다.
실드관말,실패한 드립에 관심을 주지 말라의 줄임말입니다.,저런 농담엔 관심주지마
얼리힐링족,당장 앞에 있는 자신의 행복을 우선적으로 생각하고 행복하게 살아가는 세대를 지칭하는 신조어입니다.,당장 행복을 우선으로 생활하는 세대
복세편살,복잡한 세상 편하게 살자의 줄임말입니다.,"복잡한 세상 편하게 살자, 복잡한 세상 편하게 삶을 영위"
뷰알못,뷰티를 잘 알지 못하는 사람들의 줄임말입니다.,뷰티에 대해 잘 모르는 사람
워라밸,워크 앤 라이프 밸런스'의 줄임말로 일과 삶의 균형을 중요하게 여긴다는 뜻입니다.,일과 삶의 균형
이생망,이번 생은 망했다'의 줄임말입니다.,"이번 생은 망했다, 이번 생은 망했음"
일생가,일상생활 가능하니? 의 줄임말입니다.,"일상생활 가능하니, 일상생활 가능하"
덕페이스,셀카에서 오리처럼 입술을 쭉 내민 모양의 장난스러운 표정을 뜻하는 신조어입니다.,장난스러운 표정
반신,"반말 신청의 줄임말로, 주로 초등학생들이 온라인 채팅상에서 서로 말을 편하게 하자는 식의 신조어입니다.",반말 신청
얼죽아,얼어 죽어도 아이스 아메리카노의 줄임말입니다.,얼어 죽어도 아이스 아메리카노
내또출,내일 또 출근의 줄임말입니다.,내일 또 출근
와리가리,"게임 스트리트 파이터의 일종의 버그로, 적의 반격을 받지 않고 적을 쓰러뜨리는 기술을 의미하며, 현대에서는 맞지 않게 움직이는 것을 표현합니다.",적의 반격을 받지 않고 적을 쓰러뜨리는 기술
돌취생,돌아온 취업 준비생의 줄임말입니다.,돌아온 취업 준비생
손놈,손님이지만 매너 없는 사람을 뜻하는 신조어입니다.,매너 없는 손님
영고,영원히 고통받는다'의 줄임말 입니다.,"영원히 고통받는다, 영원한 고통, 영원히 고통 받을"
롬곡,시계 방향으로 180도 회전시키면 눈물이란 단어가 되는 신조어입니다.,눈물
무물,무엇이든 물어보세요의 줄임말입니다.,"무엇이든 물어보세요, 무엇이든 질문"
머글,아이돌에 관심이 없는 일반인들을 지칭하는 말이다.,"아이돌에 관심 없는 일반인, 일반인"
꾸꾸꾸,꾸며도 꾸질 꾸질의 줄임말입니다.,꾸며도 꾸질 꾸질
쉼포족,휴식을 포기할 정도로 바쁘고 고달픈 삶을 사는 현대 직장인을 지칭하는 뜻의 신조어입니다.,바쁘고 고달픈 삶을 사는 현대 직장인
남아공,남아서 공부나 해라는 의미입니다.,"남아서 공부나 해라, 남아서 공부나"
ㅂㅂㅂㄱ,반박 불가'의 초성으로 말 그대로 반박을 할 수 없는 상황에 사용하는 신조어입니다.,"반박이 어려운 상황, 반박이 어려우"
제곧내,제목이 곧 내용의 줄임말입니다.,"제목이 곧 내용, 제목이 곧 내용이"
반퇴세대,조기퇴직을 하여 새로운 일자리를 찾는 세대를 의미하는 신조어입니다.,조기퇴직 후 새로운 일자리를 찾는 세대
성덕,성공한 덕후의 줄임말입니다.,성공한 덕후
세이런츠,공유하다의 '셰어'와 부모 '페어런츠'의 함 성어로 자녀의 일상을 sns에 올리는 부모를 지칭하는 단어입니다.,"자녀의 일상을 SNS에 올리는 부모, 자녀의 일상을 SNS에 공유"
옴뇸뇸,귀엽게 먹는다는 뜻으로 쓰이는 신조어입니다.,"귀엽게 먹는다, 귀엽게 식사"
배사,SNS 배경 사진의 줄임말입니다.,배경 사진
물멍,물을 보면서 멍하게 있는 상태를 뜻하는 단어입니다.,"물을 보면서 멍하게 있는 상태, 물 보면서 명상"
불멍,불을 보면서 멍하게 있는 상태를 뜻하는 단어입니다.,"불을 보면서 멍하게 있는 상태, 불 보면서 명상"
오놀아놈,오우 좀 놀 줄 아는 놈인가의 줄임말입니다.,오우 좀 놀 줄 아는 놈
시발비용,스트레스를 받아 홧김에 물건을 구매하는 비용을 말하는 신조어입니다.,홧김에 물건을 사는 비용
벼락거지,벼락부자의 반대말로 쓰이는 신조어입니다.,졸지에 거지
최애,최고 + 애정의 합성어인 신조어 입니다.,가장 애정하는 것
일코노미,1인 가구에 경제의 미인 이코노미가 합성된 신조어입니다.,1인 가구에 경제의 미인 이코노미
자라족,부모에게 경제적으로 기대어 사는 젊은 사람을 뜻합니다.,"부모에게 경제적으로 의지하는 젊은 사람,부모에게 경제적으로 의지하는 중"
퇴준생,퇴사를 준비하는 사람을 뜻합니다.,"퇴사를 준비하는 사람, 퇴사를 준비하는 중"
푸라면,신라면의 한자를 한글로 변환하여 부르는 단어입니다.,신라면
혼영,혼자서 영화보기의 줄임말입니다.,"혼자서 영화, 혼자서 영화 감상"
갑통알,갑자기 통장을 보니 아르바이트해야 할 것 같다의 줄임말입니다.,갑자기 통장을 보니 아르바이트해야 할 것 같다
쉐도우 복싱,"아무도 뭐라고 안 했는데, 혼자 북 치고 장구치고 하는 행위를 말합니다.",혼자 북치고 장구치는 행위
브금,BGM을 한글로 읽히는 대로 표현한 신조어입니다.,BGM
돈쭐내자,"돈으로 혼쭐을 내주자'라는 뜻으로, 선행을 하는 기업의 제품을 구매해 돈으로 혼내준다는 의미를 담고 있습니다.","선행을 하는 기업의 제품 대량구매 해주러 가자, 돈으로 혼쭐내주러 가자, 돈으로 선행을 베풀어주자"
돈쭐내러 가자,"돈으로 혼쭐을 내주자'라는 뜻으로, 선행을 하는 기업의 제품을 구매해 돈으로 혼내준다는 의미를 담고 있습니다.","선행을 하는 기업의 제품 대량구매 해주러 가자, 돈으로 혼쭐내주러 가자, 돈으로 선행을 베풀어주자"
무야호,"예능 프로그램 <무한도전>에 출연했던 한 출연자에 의해 생겨난 유행어로, 매우 신난다는 뜻을 의미하는 밈 신조어입니다.",매우 신나다
나심비,나'와 '심리' 그리고 '가성비'의 합성어. 가성비보다 스스로의 만족을 위해 지갑을 여는 소비 심리를 일컫습니다.,스스로 만족하는 소비 심리
찐텐, '진짜 텐션'을 뜻하는 줄임말입니다.,진짜 기분
고답이,고구마 잔뜩 먹은 것처럼 답답하게 행동하는 사람을 일컫는 말입니다.,"답답하게 행동하는 사람, 답답하게 행동하는 사람이"
국룰,국민 룰'의 줄임말로 보편적으로 통용되는 정해진 규칙을 말합니다.,"보편적으로 통용되는 규칙, 규칙"
꾸안꾸,꾸민 듯 안 꾸민 듯' 내추럴하지만 스타일리시한 패션 센스를 이르는 말입니다.,"내추럴하지만 잘 어울리는, 내추럴하지만 잘 어울리는 옷, 내추럴하지만 잘 어울리는 옷이"
마상,마음의 상처'를 줄인 말. 아쉽거나 실망스러운 일이 있을 때 주로 사용합니다.,"아쉬운 일, 실망스러운 일, 마음에 상처"
낄낄빠빠,낄 때 끼고 빠질 때 빠지자'로 나설 상황이 아닌데 눈치 없이 오지랖을 부리는 사람에게 쓰는 줄임말입니다.,"오지랖 좀 그만 부리고 꺼져, 낄때 끼고 빠질 때 빠져"
고스팅,유령+ing합성어. 유령처럼 연락이 두절되는 것을 의미합니다.,"연락이 두절되는 것, 연락 두절"
금턴,정규직 전환율이 높은 인턴자리을 의미하는 신조어입니다.,정규직 전환율이 높은 인턴자리
나일리지,나이+마일리지의 합성어인 신조어입니다.,나이 마일리지
너또다,너도 또라이라 다행이다의 줄임말 입니다.,너도 또라이라 다행이다
닉차,닉네임 차별의 줄임말로 이름으로 판단할때 사용합니다.,닉네임 차별
댕댕이,멍멍이 즉 강아지 같은 사람을 의미하는 단어입니다.,멍멍이
띵공,명곡을 발음하기 쉽게 표현한 신조어입니다.,명곡
롬곡옾눞,시계 방향으로 180도 회전시키면 폭풍눈물이란 단어가 되는 신조어입니다.,폭풍눈물
맥세권,맥도날드 근처라는 뜻을 가진 신조어입니다.,"맥도날드 근처, 맥도날드 근처에서 거주중"
문찐,문화에 뒤처진 사람을 의미하는 신조어입니다.,문화에 뒤처진 사람
존모,존댓말 모드의 줄임말입니다.,존댓말 모드
반모,반말모드의 줄임말입니다.,반말모드 존댓말 모드
법블레스유,법이 너를 지켜주길바라는 뜻을 가진 신조어입니다.,"법이 너를 지켜주길, 법이 너를 지켜주길 바란다"
불소,불타는 소통이라는 뜻을 가진 줄임말입니다.,불타는 소통
빠태,빠른 태세 전환을 줄인 말입니다.,빠른 태세 전환
뼈뚜맛,뼈를 뚜두려 맞았다. 팩트폭격을 의미하는 줄임말입니다.,팩트폭격
사망년,본격적인 취업준비 시기인 대학교 3학년을 비유하는 신조어입니다.,대학교 3학년 취업 준비 시기
설참,"설명참고의 줄임말로, 설명을 읽으라는 의미로 사용합니다.",설명 참고
스라밸,"스터디+라이브+밸런스, 공부와 삶의 균형을 의미하는 신조어입니다.",공부와 삶의 균형
알부자,알바를 많이 하는 사람이라는 뜻을 가진 신조어입니다.,"알바를 많이 하는 사람, 알바를 많이 하는 사람이"
앱등이,브랜드 애플의 추종자이라는 뜻입니다.,애플의 추종자
엄근진,"엄격, 근엄, 진지의 합성어로, 냉정함을 유지하는 표정이나 어투에 사용합니다.","냉정한 표정 어투, 냉정함 유지"
윰차,구독자 유무를 차별이라는 뜻을 가진 신조어입니다.,구독자 유무를 차별
이퇴백,20대에 퇴사하는 백수이라는 뜻을 가진 신조어입니다.,20대에 퇴사하는 백수
이학망,이번 학기는 망했다의 줄임말입니다.,"이번 학기는 망했다, 이번 학기는 똥망"
전공,전체공개의 줄임말입니다.,전체공개
커여워,귀여워의 줄임말입니다.,귀여워
톡디,카카오톡 아이디의 줄임말입니다.,카카오톡 아이디
편세권,편의점 근처를 지칭하는 신조어입니다.,편의점 근처
현시창,현실은 시궁창의 줄임말입니다.,현실은 시궁창
혼코노,혼자 코인 노래방에 가다의 줄임말입니다.,"혼자 코인 노래방에 갔다 왔어, 혼자 코인 노래방"
혼틈,"혼란을 틈타의 줄임말.로, 활발히 대화를 하고 있는 도중 대화에 참여할 때 사용합니다.",혼란을 틈타
흙턴,허드렛일이나 단순 노동만 반복하는 인턴자리을 의미하는 신조어입니다.,허드렛일이나 단순 노동만 반복하는 인턴자리
흠좀무,흠 이게 사실이라면 좀 무섭군요.. 의 줄임말입니다.,"흠 이게 사실이라면 좀 무섭군요, 흠 이게 사실이라면 좀 무섭군요"
이뭐병,이건..뭐..병X도 아니고의 줄임말입니다. 비속어가 섞여있습니다.,이건 뭐 병신도 아니고
여병추,여기 병X 하나 추가요의 줄임말입니다. 비속어가 섞여있습니다.,"여기 병신 하나 추가요, 여기 병신 하나 추가"
항가항가,"하악하악을 잘못 표기한 단어로써, 아주 굉장히 좋은 무언가를 봤을 때 사용하는 단어입니다.",하악하악
지못미,지켜주지 못해서 미안해의 줄임말입니다.,지켜주지 못해서 미안해
열폭,열등감 폭발의 줄임말입니다.,열등감 폭발
쪄죽따,쪄 죽어도 따듯한 물에 샤워한다'의 줄임말입니다. 주로 차가운 것보다는 따듯한 것을 좋아하는 성격을 지칭합니다.,"쪄 죽어도 따듯한 물에 샤워한다, 쪄 죽어도 따듯한 물에 샤워"
보배,보조 배터리의 줄임말입니다.,보조 배터리
당모치,당연히 모든 치킨은 옳다의 줄임말입니다.,"당연히 모든 치킨은 옳다, 당연히 모든 치킨은 정답"
물음표 살인마,"사소한 질문들 많이 하는 사람을 의미하는 신조어로, 질문을 계속해서 사람을 힘들게 한다는 뜻합니다.","사소한 질문들 많이 하는 사람, 사소한 질문들 많이 하는 사람이"
택노,택시 노예'의 줄임말입니다.,택시 노예
쩝쩝박사,음식의 맛있는 조합을 잘 아는 사람들을 칭찬할 때 쓰는 말입니다. 쩝쩝이라는 말은 나쁜 말이지만 박사라는 단어가 붙어서 긍정적으로 사용됩니다.,"음식의 맛있는 조합을 잘 아는 사람들, 음식의 맛있는 조합을 잘 아는 사람"
뽀시래기,부스러기'를 뜻하는 전라도 사투리지만 '작고 귀엽다'는 의미로 사용됩니다.,"작고 귀엽다, 작고 귀여운 것, 귀엽"
레게노,레전드(legend)를 잘못 읽어서 생겨난 신조어입니다. 'legend'의 'd'를 'o'로 잘못 봐서 'legeno'라고 읽은 것을 시작으로 생겨난 신조어입니다.,레전드
일취월장,일요일에 취하면 월요일에 장난 아니야'의 줄임말입니다.,"일요일에 취하면 월요일에 장난 아니야, 일요일에 취하면 월요일에 장난 없음"
쌉파서블,매우 가능하다'라는 뜻입니다. 가능한(possible) 앞에 매우라는 단어 '쌉'을 붙인 것입니다.,"매우 가능하다, 매우 가능"
주불,주소 불러'의 줄임말로 택배를 보낼 때 사용하는 신조어입니다.,주소 불러
최최차차,최애는 최애고 차은우는 차은우'의 줄임말입니다. 차은우가 너무나 잘생겨서 생겨난 신조어입니다.,최애는 최애고 차은우는 차은우
H워얼v,사랑한다'는 뜻입니다. '사랑해'의 형태를 뒤집어서 표현한 것입니다. 모니터를 뒤집어서 자세히 보면 '사랑해'라는 단어로 보입니다.,"사랑한다, 사랑해"
띵언,think + 명언의 합성어로 정말 와닿는 문장을 의미합니다.,명언
런치플레이션,"점심인 '런치'와 물가상승 현상 '인플레이션'을 합친 말로, 물가가 오르면서 점심값 지출이 늘어난 상황을 뜻합니다.","점심값이 너무 비싸다, 물가가 오르면서 점심값 지출이 늘어난 상황"
ㄹㄱㅎㅃ,라고 할뻔이라는 뜻을 가진 신조어입니다. ,라고 할뻔
